id,speaker,text,next,choices,note,tag
end4_01,주인공,죽음은 내게 온다.,end4_02,,"엔딩4 = 최종보스 처치 + 성불 4회(강한 의지 / 두려움을 인정하고 생을 긍정 / 주인공 자신을 성불시킴). 하얀 화면 위 독백이라 전 행 화자는 주인공이다. 1문단 시작."
end4_02,주인공,그것이 내게 온다.,end4_03,,
end4_03,주인공,그것은 두렵다.,end4_04,,
end4_04,주인공,시간이 다 되었다.,end4_05,,
end4_05,주인공,어떠한 변명도 감상도 통하지 않는다.,end4_06,,"1문단 끝."
end4_06,주인공,"존재의 소멸
경험의 소멸
의지의 소멸",end4_07,,"2문단 시작(원문의 빈 줄). 5글자짜리 명사구 3연이라 한 행씩 끊으면 V 키를 세 번 눌러야 해 호흡이 끊긴다. 큰따옴표로 감싼 실제 줄바꿈으로 한 행에 묶었다(CsvParser 가 따옴표 안 개행을 필드 내용으로 처리하고, 대화 패널은 높이 200 / 폰트 40 이라 3줄이 들어간다)."
end4_07,주인공,내가 바라보던 세상은 여기까지다.,end4_08,,"2문단 끝."
end4_08,주인공,하지만 너의 세상은 어떻지?,end4_09,,"3문단 시작(원문의 빈 줄). 여기서부터 청자가 플레이어로 바뀐다."
end4_09,주인공,나와 대화하는 이 순간은 내게 있어 끝이 나지만,end4_10,,
end4_10,주인공,너에게 이 순간은 남을 것이다.,end4_11,,
end4_11,주인공,너는 역설적이게도 나로 하여금 나를 죽게 하였지만,end4_12,,
end4_12,주인공,그 덕분에 나는 너 속에서 계속해서 살아갈 것이다.,,,"원문 끝. 엔딩4 에는 -The End 가 원문에 없어 넣지 않았다(임의 추가 금지). 대사 종료 후 Ending.cs 가 크레딧을 재생한다."
