id,speaker,text,next,choices,note
mono_02,주인공,마치 가위에 눌린 기분이었지만,mono_03,,[1인칭] 어둠이 흰색으로 바뀌고 노이즈 캔슬링 소리 같은 백색 소음. 한줄씩 전개.
mono_03,주인공,이내 곧 몸이 가벼워졌다.,mono_04,
mono_04,주인공,그러자 정신과 몸이 분리되는 듯한 느낌이 든다.,mono_05,
mono_05,주인공,동시에 기억들이 희미해져간다.,mono_06,
mono_06,주인공,이렇게 끝나는건가?,mono_07,
mono_07,주인공,더 이상 아무것도 느껴지지 않는다.,mono_08,
mono_08,주인공,아무것도 느끼지 못한다는 인식만이 남아있다.,mono_09,
mono_09,주인공,어째서 이러한 생각만은 지속되는거지? 의문들이 계속된다.,mono_10,
mono_10,주인공,…,mono_11,
mono_11,주인공,이게 죽음이라는 감각인가?,mono_12,
mono_12,주인공,나라는 존재가 사라지는건지,mono_13,
mono_13,주인공,내가 있던 세계가 사라지는건지,mono_14,
mono_14,주인공,어느쪽인지 분간이 잘 되지 않는다,mono_15,
mono_15,주인공,하지만 분명한 것은 어떤 경우에든 내가 바라보던 세계는 이제 없다는 것이다.,mono_16,
mono_16,주인공,기억이 희미해짐에 따라 가장 먼저 끊어진 것은 세계와 나 사이의 연결고리였다.,mono_17,
mono_17,주인공,세계가 희미해져감에 따라 자아도 희미해져갔기 때문이다.,mono_18,
mono_18,주인공,"내가 어디에서 왔는지, 나는 누구인지, 나는 어디로 가는지",mono_19,
mono_19,주인공,세계를 그려보려고 해도 내가 있던 세계는 이제 더는 없다.,mono_20,
mono_20,주인공,"나의 친구들, 내 가족들, 내가 있던 나라, 내가 살던 집, 내가 아끼던 물건들, 내가 꿈꾸던 것들, 내 경험의 순간들",mono_21,
mono_21,주인공,모든 것들이 이제는 너무나 희미하다.,mono_22,
mono_22,주인공,그것들의 기억이 희미해지자 그것들의 가치도 점점 희미해져간다.,mono_23,
mono_23,주인공,그렇게 희미해지는 세계에 대한 가치 속에서 사실은 정말로 두려운 것은 나라는 인식마저 희미해져 간다는 것이다.,mono_24,
mono_24,주인공,나로부터 내가 희미해져 간다는 것은 무엇을 의미할까?,mono_25,
mono_25,주인공,그 의미를 떠올리기 어려웠다.,mono_26,
mono_26,주인공,“ 그러자 나는 곧 두려워졌다 ”,mono_27,
mono_27,주인공,무엇이 두려운 것이지?,mono_28,
mono_28,주인공,세상에 나는 더는 존재하지 않는다는걸 아는데도,mono_29,
mono_29,주인공,나는 내가 이렇게 사라지는게 두렵다.,mono_30,
mono_30,주인공,나의 사념은 불안으로 가득찼다,mono_31,
mono_31,주인공,불안은 가공의 의지를 불러왔다,mono_32,
mono_32,주인공,나의 자아는 사라져 간다.,mono_33,
mono_33,주인공,그렇다면 나는 마지막으로 무엇을 기억할 것인가?,mono_34,
mono_34,주인공,나는 나를 기억하고 싶다.,mono_35,
mono_35,주인공,내가 사라지는 시간과 불안은 마침내 나를 나로부터 분리해냈다.,mono_36,
mono_36,주인공,그러자 이득고 가공의 세계가 모습을 드러냈다.,mono_37,
mono_37,주인공,…,,,대사 종료. 다음 씬 대사: S02_START (start_02부터)
