id,speaker,text,next,choices,note,tag
geum2_01,주인공,너는 누구지?,geum2_02,,"미사용 파일. 씬(Boss_Gold.unity)은 S08_BOSS_GEUM_1 을 참조하므로 조우 2 대본은 그쪽에 들어가 있다. 이 파일은 같은 조우 2 대본의 사본으로 남겨 둔다.",
geum2_02,금보스,나는 죽음이다. 네가 너를 네 손으로 끝내기 전에 내가 단념하게 해주지.,geum2_03,,,
geum2_03,주인공,나는 너한테 죽고싶지 않은데.,geum2_04,,,
geum2_04,금보스,너는 죽음으로부터 도피하고 있을 뿐. 죽음은 존재에게 두려운 것이지만 그걸 회피하는 것은 불안과 도피전략에 불과하다.,geum2_05,,,
geum2_05,주인공,"나는 스스로 납득하고, 스스로 자신의 자아의 죽음을 인식하기 위한 여정 위에 있다. 내가 나의 죽음을 스스로 불러오겠다는데 이게 왜 도피이지?",geum2_06,,,
geum2_06,금보스,죽음은 그런식으로 오지 않는다.,geum2_07,,,
geum2_07,주인공,죽음이 오는 방식? 세상에 그런게 정해져 있나?,geum2_08,,,
geum2_08,금보스,너는 결국 나를 쓰러트리고 그 여정의 끝에 다다르겠지. 하지만 그렇다고 달라지는 게 있을까?,geum2_09,,,
geum2_09,주인공,…,,,"도입 대사의 마지막 행. next 가 비어 있어 대화가 끝나고 전투가 시작된다.",
geum2_win,주인공,(그의 힘을 받아들일 것인가),,힘을 받아들인다:geum2_win_geuk/거절한다:geum2_win_saeng,"원문에 없는 분기 진입 행. 극(剋)/생(生) 두 갈래 승리가 게임 시스템이라 이 선택지가 없으면 생 경로로 진행할 수 없다.",추가함
geum2_win_geuk,금보스,자 가던 길 마저 가라구.,geum2_skill,,"극(剋) 승리 — 원문 그대로.",
geum2_skill,시스템,금보스 스킬 획득,,,"원문 '금보스 스킬 획득' 을 그대로 옮겼다.",
geum2_win_saeng,금보스,끝내 받지 않는군. 죽음을 빌리지 않고 죽겠다는 건가.,geum2_coin,,"생(生) 승리 대사. 원문 말미 'Cf) 생하면 얻는 대사는 추가예정' 에 해당한다.",추가함
geum2_coin,금보스,고집이군. 하지만 그 고집이 네가 아직 있다는 유일한 증거겠지.,,,"생(生) 승리의 마지막 대사이자 코인 지급 행. 의지 코인은 시스템 내부 용어라 유저에게 노출하지 않는다(2026-08-31) — 안내 문구 행을 삭제하고 이 행의 id 를 _coin 으로 바꿔 BossRoom.IsCoinGrantEntry 의 지급 트리거만 유지했다.",추가함
