id,speaker,text,next,choices,note
hwa2_01,주인공,너는 누구지?,hwa2_02,,
hwa2_02,화보스,나는 죽지 않는 불사의 힘을 가지고 새의 형상을 하고 있다.,hwa2_03,,
hwa2_03,주인공,불사조로군.,hwa2_04,,
hwa2_04,화보스,난 불사조가 아니야. 그건 네가 붙인 이름일 뿐이지.,hwa2_05,,
hwa2_05,주인공,내가 이름을 붙인다고 너의 본질이 변하나?,hwa2_06,,
hwa2_06,화보스,본질은 변하지 않는다. 하지만 존재는 변하지.,hwa2_07,,
hwa2_07,주인공,너는 나의 의식에 나타난 표상일뿐.,hwa2_08,,
hwa2_08,화보스,내가 단지 표상이라고? 내가 지금 이렇게 너와 마주 서서 이야기하고 있는데도 단지 표상에 불과한가? 너는 존재를 오해하고 있군. 너의 논리는 너 자신마저도 표상에 불과한 것이라고 말하고 있는 것이나 마찬가지야.,hwa2_09,,
hwa2_09,주인공,너나 내가 표상에 불과하든 실재하든 그것이 중요한가?,hwa2_10,,
hwa2_10,화보스,곧 세계가 없어질 녀석에겐 그다지 중요하지 않을지도 모르지.,hwa2_11,,
hwa2_11,주인공,…,,,"도입 대사의 마지막 행. next 가 비어 있어 대화가 끝나고 전투가 시작된다."
hwa2_win,주인공,(그의 힘을 받아들일 것인가),,힘을 받아들인다:hwa2_win_geuk/거절한다:hwa2_win_saeng,"승리 확정 후 BossRoom 이 이 행부터 재생한다(victoryStartId=hwa2_win). 패배했을 때는 S13_BATTLE_LOSE 를 재생한다."
hwa2_win_geuk,화보스,아무것도 달라진건 없어.,hwa2_skill,,"극(剋) 승리 경로 — 보스의 힘을 받아들인다."
hwa2_skill,시스템,화 스킬을 획득하였습니다,,,"BossRoom 이 이 행 도달을 감지해 실제로 스킬을 지급하고 세이브한다."
hwa2_win_saeng,화보스,받지 않는군. 이름도 붙이지 않고 힘도 가져가지 않겠다니.,hwa2_win_saeng_02,,"생(生) 승리 경로 — 스킬을 거절한다."
hwa2_win_saeng_02,화보스,그럼 나는 끝까지 네가 모르는 것으로 남겠지. 그게 내가 죽지 않는 방식이다.,hwa2_coin,,
hwa2_coin,시스템,의지 코인 5개를 얻었다,,,"BossRoom 이 이 행 도달을 감지해 의지 코인 5개를 지급하고 세이브한다."
