id,speaker,text,next,choices,note,tag
end3_01,주인공,처음부터 이렇게 될 일이었다.,end3_02,,"엔딩3 = 최종보스 처치 + 성불 1~3회(보통 의지). 검정 화면 위 독백이라 전 행 화자는 주인공이다. 1문단 시작."
end3_02,주인공,시간은 멀고 죽음은 가깝다.,end3_03,,
end3_03,주인공,무엇이 나를 여기까지 오게 한 걸까.,end3_04,,"원문 한걸까 → 한 걸까 (의존명사 띄어쓰기만 교정)."
end3_04,주인공,그건 죽음일 것이다.,end3_05,,"원문 죽음일것이다 → 죽음일 것이다."
end3_05,주인공,결국 이 세계의 진상 같은 건 알 수가 없었다.,end3_06,,"원문 진상같은건 → 진상 같은 건."
end3_06,주인공,죽음 뒤에도 마찬가지겠지.,end3_07,,"1문단 끝."
end3_07,주인공,깜깜한 동굴 속에서 빛은 모두 순간일 뿐.,end3_08,,"2문단 시작(원문의 빈 줄). 원문 순간일뿐 → 순간일 뿐."
end3_08,주인공,하지만 그 빛 아래서 나는 선택해야만 했다.,end3_09,,
end3_09,주인공,비록 그 선택이 죽음으로의 길일지라도.,end3_10,,
end3_10,주인공,그것만이 내게 남은 자유였다.,end3_11,,
end3_11,주인공,나의 존재는 여기서 끝난다.,end3_12,,"존재/경험/의지 3연은 각각 완결된 문장이라 한 행씩 끊어 반복의 무게를 살린다. 엔딩4 의 명사구 3연(존재의 소멸...)과 달리 묶지 않았다."
end3_12,주인공,나의 경험도 여기서 끝난다.,end3_13,,
end3_13,주인공,나의 의지도 여기서 끝난다.,end3_14,,
end3_14,주인공,남은 것은 내가 선택했다는 그 일순간의 사실만이 있을 뿐.,end3_15,,
end3_15,주인공,후회는 없다.,,,
